title,creator,type,institution,country,year,rights,link
Documentary footage,Gustave Courbet,TEXT,Musée du Louvre,France,1922,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/973835
Manuscript fragment,Jean-Auguste Ingres,IMAGE,Bibliothèque nationale de France,France,1971,CC0 Public Domain,https://gallica.bnf.fr/ark:/12148/582087
Town plan,Gustave Courbet,SOUND,Musée du Louvre,France,1751,,https://collections.louvre.fr/ark:/53355/537983
Etching of the cathedral,Eugène Delacroix,IMAGE,Bibliothèque nationale de France,France,1923,No Copyright Non-Commercial,https://gallica.bnf.fr/ark:/12148/582446
Map of the region,Jean-Auguste Ingres,IMAGE,Bibliothèque nationale de France,France,1810,In Copyright,https://gallica.bnf.fr/ark:/12148/717476
Map of the region,Eugène Delacroix,VIDEO,Musée du Louvre,France,1765,CC BY-SA 4.0,https://collections.louvre.fr/ark:/53355/916964
Trade contract,Gustave Courbet,TEXT,Bibliothèque nationale de France,France,1941,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/468154
Still life with flowers,Edgar Degas,IMAGE,Musée d Orsay,France,1719,CC BY-SA 4.0,https://www.musee-orsay.fr/en/artworks/306854
Printed book page,Edgar Degas,3D,Bibliothèque nationale de France,France,1887,No Copyright Non-Commercial,https://gallica.bnf.fr/ark:/12148/896788
Still life with flowers,Camille Pissarro,VIDEO,Réunion des musées nationaux,France,1880,In Copyright,https://www.photo.rmn.fr/archive/171603
Legal document,Eugène Delacroix,IMAGE,Réunion des musées nationaux,France,1757,No Copyright Non-Commercial,https://www.photo.rmn.fr/archive/177794
Newspaper article,Claude Monet,VIDEO,Bibliothèque nationale de France,France,1811,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/180458
Printed book page,Jean-Auguste Ingres,IMAGE,Musée du Louvre,France,1777,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/783501
View of the city harbour,Gustave Courbet,IMAGE,Musée du Louvre,France,1921,In Copyright,https://collections.louvre.fr/ark:/53355/208529
View of the city harbour,Gustave Courbet,IMAGE,Bibliothèque nationale de France,France,1856,CC BY 4.0,https://gallica.bnf.fr/ark:/12148/841995
Census record,Eugène Delacroix,VIDEO,Musée d Orsay,France,1843,CC BY-SA 4.0,https://www.musee-orsay.fr/en/artworks/506235
Battle scene,Camille Pissarro,VIDEO,Bibliothèque nationale de France,France,1849,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/199096
Letter from the archive,Eugène Delacroix,IMAGE,Réunion des musées nationaux,France,1922,CC0 Public Domain,https://www.photo.rmn.fr/archive/711046
Still life with flowers,Camille Pissarro,SOUND,Réunion des musées nationaux,France,1970,No Copyright Non-Commercial,https://www.photo.rmn.fr/archive/843266
Newspaper article,Camille Pissarro,VIDEO,Musée du Louvre,France,1947,CC BY 4.0,https://collections.louvre.fr/ark:/53355/802667
Documentary footage,Camille Pissarro,SOUND,Bibliothèque nationale de France,France,1823,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/119116
Genre scene,Eugène Delacroix,3D,Musée d Orsay,France,1737,CC BY 4.0,https://www.musee-orsay.fr/en/artworks/244247
Coat of arms,Gustave Courbet,IMAGE,Bibliothèque nationale de France,France,1876,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/903531
Landscape with river,Edgar Degas,IMAGE,Musée du Louvre,France,1821,,https://collections.louvre.fr/ark:/53355/908554
Legal document,Claude Monet,SOUND,Musée du Louvre,France,1756,,https://collections.louvre.fr/ark:/53355/854540
Map of the region,Camille Pissarro,3D,Réunion des musées nationaux,France,1760,No Copyright Non-Commercial,https://www.photo.rmn.fr/archive/350786
Printed book page,Eugène Delacroix,3D,Musée d Orsay,France,1867,CC BY-SA 4.0,https://www.musee-orsay.fr/en/artworks/915922
Etching of the cathedral,Edgar Degas,TEXT,Musée du Louvre,France,1903,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/245121
Town plan,Eugène Delacroix,IMAGE,Musée du Louvre,France,1521,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/992512
Trade contract,Eugène Delacroix,3D,Musée d Orsay,France,1905,No Copyright Non-Commercial,https://www.musee-orsay.fr/en/artworks/254506
Census record,Jean-Auguste Ingres,VIDEO,Musée d Orsay,France,1628,CC0 Public Domain,https://www.musee-orsay.fr/en/artworks/535050
Battle scene,Edgar Degas,SOUND,Réunion des musées nationaux,France,1250,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/335445
View of the city harbour,Edgar Degas,IMAGE,Réunion des musées nationaux,France,1817,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/970068
Trade contract,Jean-Auguste Ingres,IMAGE,Musée du Louvre,France,1719,CC0 Public Domain,https://collections.louvre.fr/ark:/53355/119927
Map of the region,Claude Monet,TEXT,Musée du Louvre,France,1414,CC BY-SA 4.0,https://collections.louvre.fr/ark:/53355/227767
Newspaper article,Claude Monet,IMAGE,Musée du Louvre,France,1880,In Copyright,https://collections.louvre.fr/ark:/53355/725726
Chronicle of the kingdom,Camille Pissarro,IMAGE,Musée d Orsay,France,1830,In Copyright,https://www.musee-orsay.fr/en/artworks/101640
Documentary footage,Johannes Vermeer,IMAGE,Gemeentearchief Rotterdam,Netherlands,,CC BY-SA 4.0,https://hdl.handle.net/11259/collection.rotterdam/170966
View of the city harbour,Jan Steen,3D,Rijksmuseum,Netherlands,,,https://www.rijksmuseum.nl/en/collection/505674
Legal document,Pieter de Hooch,IMAGE,Amsterdam Museum,Netherlands,1784,CC0 Public Domain,https://hdl.handle.net/11259/collection.amsterdam/461551
Still life with flowers,Jacob van Ruisdael,VIDEO,Rijksmuseum,Netherlands,1882,CC0 Public Domain,https://www.rijksmuseum.nl/en/collection/469412
Town plan,Pieter de Hooch,3D,Nationaal Archief,Netherlands,1717,In Copyright,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/762423
View of the city harbour,Pieter de Hooch,3D,Rijksmuseum,Netherlands,1302,CC BY-SA 4.0,https://www.rijksmuseum.nl/en/collection/311383
Documentary footage,Frans Hals,TEXT,Rijksmuseum,Netherlands,1832,In Copyright,https://www.rijksmuseum.nl/en/collection/955015
Chronicle of the kingdom,Pieter de Hooch,TEXT,Rijksmuseum,Netherlands,1369,CC BY-SA 4.0,https://www.rijksmuseum.nl/en/collection/918771
Manuscript fragment,Rembrandt van Rijn,VIDEO,Amsterdam Museum,Netherlands,1849,In Copyright,https://hdl.handle.net/11259/collection.amsterdam/879414
Town plan,Johannes Vermeer,3D,Amsterdam Museum,Netherlands,1984,In Copyright,https://hdl.handle.net/11259/collection.amsterdam/485191
Battle scene,Rembrandt van Rijn,SOUND,Amsterdam Museum,Netherlands,,In Copyright,https://hdl.handle.net/11259/collection.amsterdam/731718
Letter from the archive,Jacob van Ruisdael,TEXT,Nationaal Archief,Netherlands,1737,CC0 Public Domain,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/183958
Landscape with river,Jan Steen,SOUND,Amsterdam Museum,Netherlands,1805,,https://hdl.handle.net/11259/collection.amsterdam/565471
Architectural drawing,Jacob van Ruisdael,SOUND,Amsterdam Museum,Netherlands,1955,,https://hdl.handle.net/11259/collection.amsterdam/929924
Portrait of a nobleman,Frans Hals,IMAGE,Gemeentearchief Rotterdam,Netherlands,1856,CC BY 4.0,https://hdl.handle.net/11259/collection.rotterdam/989894
Map of the region,Johannes Vermeer,IMAGE,Rijksmuseum,Netherlands,1872,,https://www.rijksmuseum.nl/en/collection/484123
Coat of arms,Jacob van Ruisdael,IMAGE,Rijksmuseum,Netherlands,1897,In Copyright,https://www.rijksmuseum.nl/en/collection/488984
Documentary footage,Jacob van Ruisdael,IMAGE,Rijksmuseum,Netherlands,1735,CC BY-SA 4.0,https://www.rijksmuseum.nl/en/collection/517368
Illuminated miniature,Rembrandt van Rijn,IMAGE,Nationaal Archief,Netherlands,1871,CC BY 4.0,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/623285
Town plan,Frans Hals,TEXT,Rijksmuseum,Netherlands,,In Copyright,https://www.rijksmuseum.nl/en/collection/324993
Genre scene,Pieter de Hooch,3D,Amsterdam Museum,Netherlands,1928,CC0 Public Domain,https://hdl.handle.net/11259/collection.amsterdam/242321
Battle scene,Pieter de Hooch,3D,Nationaal Archief,Netherlands,,,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/986593
Folk song recording,Pieter de Hooch,IMAGE,Amsterdam Museum,Netherlands,1961,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.amsterdam/404466
Religious icon,Frans Hals,TEXT,Nationaal Archief,Netherlands,1626,CC BY 4.0,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/930541
Printed book page,Frans Hals,VIDEO,Rijksmuseum,Netherlands,1811,No Copyright Non-Commercial,https://www.rijksmuseum.nl/en/collection/236074
Town plan,Frans Hals,SOUND,Rijksmuseum,Netherlands,1898,,https://www.rijksmuseum.nl/en/collection/601916
Still life with flowers,Jacob van Ruisdael,IMAGE,Gemeentearchief Rotterdam,Netherlands,1619,CC BY-SA 4.0,https://hdl.handle.net/11259/collection.rotterdam/773540
Woodcut illustration,Johannes Vermeer,IMAGE,Amsterdam Museum,Netherlands,1807,CC BY 4.0,https://hdl.handle.net/11259/collection.amsterdam/553633
Chronicle of the kingdom,Jacob van Ruisdael,IMAGE,Rijksmuseum,Netherlands,1790,CC BY 4.0,https://www.rijksmuseum.nl/en/collection/269834
Diary entry,Frans Hals,TEXT,Nationaal Archief,Netherlands,1770,CC0 Public Domain,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/362778
Digital reconstruction of building,Johannes Vermeer,TEXT,Amsterdam Museum,Netherlands,1821,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.amsterdam/197966
Newspaper article,Johannes Vermeer,VIDEO,Nationaal Archief,Netherlands,1901,No Copyright Non-Commercial,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/143195
Portrait of a woman,Rembrandt van Rijn,TEXT,Rijksmuseum,Netherlands,1879,CC BY 4.0,https://www.rijksmuseum.nl/en/collection/904214
Portrait of a woman,Jan Steen,TEXT,Rijksmuseum,Netherlands,1787,CC BY-SA 4.0,https://www.rijksmuseum.nl/en/collection/606404
Battle scene,Frans Hals,3D,Gemeentearchief Rotterdam,Netherlands,1753,,https://hdl.handle.net/11259/collection.rotterdam/162823
Letter from the archive,Jan Steen,TEXT,Gemeentearchief Rotterdam,Netherlands,1791,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.rotterdam/250647
Parish register entry,Pieter de Hooch,VIDEO,Amsterdam Museum,Netherlands,1871,CC BY 4.0,https://hdl.handle.net/11259/collection.amsterdam/897615
Printed book page,Frans Hals,TEXT,Rijksmuseum,Netherlands,1818,CC0 Public Domain,https://www.rijksmuseum.nl/en/collection/380464
Parish register entry,Rembrandt van Rijn,TEXT,Rijksmuseum,Netherlands,1720,No Copyright Non-Commercial,https://www.rijksmuseum.nl/en/collection/538446
Genre scene,Jacob van Ruisdael,VIDEO,Amsterdam Museum,Netherlands,,CC BY 4.0,https://hdl.handle.net/11259/collection.amsterdam/622469
Official decree,Jan Steen,TEXT,Gemeentearchief Rotterdam,Netherlands,1983,CC0 Public Domain,https://hdl.handle.net/11259/collection.rotterdam/194423
3D scan of sculpture,Johannes Vermeer,TEXT,Gemeentearchief Rotterdam,Netherlands,1626,CC BY-SA 4.0,https://hdl.handle.net/11259/collection.rotterdam/151021
Diary entry,Frans Hals,IMAGE,Gemeentearchief Rotterdam,Netherlands,1567,CC0 Public Domain,https://hdl.handle.net/11259/collection.rotterdam/551860
View of the city harbour,Jan Steen,VIDEO,Amsterdam Museum,Netherlands,1824,In Copyright,https://hdl.handle.net/11259/collection.amsterdam/153642
Battle scene,Jacob van Ruisdael,TEXT,Amsterdam Museum,Netherlands,1870,In Copyright,https://hdl.handle.net/11259/collection.amsterdam/628750
Still life with flowers,Jacob van Ruisdael,IMAGE,Amsterdam Museum,Netherlands,1843,CC0 Public Domain,https://hdl.handle.net/11259/collection.amsterdam/513037
Digital reconstruction of building,Johannes Vermeer,TEXT,Amsterdam Museum,Netherlands,1805,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.amsterdam/520884
Etching of the cathedral,Johannes Vermeer,VIDEO,Rijksmuseum,Netherlands,1877,In Copyright,https://www.rijksmuseum.nl/en/collection/644559
Landscape with river,Frans Hals,VIDEO,Nationaal Archief,Netherlands,1919,In Copyright,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/746447
Town plan,Jacob van Ruisdael,3D,Amsterdam Museum,Netherlands,1802,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.amsterdam/414353
Manuscript fragment,Frans Hals,IMAGE,Amsterdam Museum,Netherlands,1946,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.amsterdam/422623
Architectural drawing,Jacob van Ruisdael,3D,Rijksmuseum,Netherlands,,,https://www.rijksmuseum.nl/en/collection/920934
3D scan of sculpture,Pieter de Hooch,IMAGE,Nationaal Archief,Netherlands,1892,In Copyright,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/278794
View of the city harbour,Johannes Vermeer,TEXT,Gemeentearchief Rotterdam,Netherlands,1504,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.rotterdam/834549
Still life with flowers,Frans Hals,SOUND,Gemeentearchief Rotterdam,Netherlands,1764,In Copyright,https://hdl.handle.net/11259/collection.rotterdam/824042
Town plan,Pieter de Hooch,IMAGE,Gemeentearchief Rotterdam,Netherlands,1741,CC BY 4.0,https://hdl.handle.net/11259/collection.rotterdam/643878
Letter from the archive,Jacob van Ruisdael,SOUND,Gemeentearchief Rotterdam,Netherlands,1972,CC BY 4.0,https://hdl.handle.net/11259/collection.rotterdam/581992
Digital reconstruction of building,Pieter de Hooch,TEXT,Amsterdam Museum,Netherlands,,In Copyright,https://hdl.handle.net/11259/collection.amsterdam/301603
Map of the region,Jacob van Ruisdael,TEXT,Amsterdam Museum,Netherlands,1726,CC BY-SA 4.0,https://hdl.handle.net/11259/collection.amsterdam/908634
Legal document,Frans Hals,3D,Gemeentearchief Rotterdam,Netherlands,1918,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.rotterdam/934042
Trade contract,Jacob van Ruisdael,SOUND,Rijksmuseum,Netherlands,1798,In Copyright,https://www.rijksmuseum.nl/en/collection/958130
Chronicle of the kingdom,Frans Hals,IMAGE,Nationaal Archief,Netherlands,1756,,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/182868
Genre scene,Pieter de Hooch,3D,Amsterdam Museum,Netherlands,1871,CC BY 4.0,https://hdl.handle.net/11259/collection.amsterdam/968170
Digital reconstruction of building,Johannes Vermeer,IMAGE,Amsterdam Museum,Netherlands,1706,,https://hdl.handle.net/11259/collection.amsterdam/715336
View of the city harbour,Pieter de Hooch,TEXT,Nationaal Archief,Netherlands,1760,CC0 Public Domain,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/533377
Portrait of a nobleman,Pieter de Hooch,IMAGE,Rijksmuseum,Netherlands,1860,No Copyright Non-Commercial,https://www.rijksmuseum.nl/en/collection/265613
Woodcut illustration,Pieter de Hooch,TEXT,Gemeentearchief Rotterdam,Netherlands,1707,CC BY-SA 4.0,https://hdl.handle.net/11259/collection.rotterdam/436768
Folk song recording,Pieter de Hooch,TEXT,Rijksmuseum,Netherlands,1902,,https://www.rijksmuseum.nl/en/collection/858243
Census record,Jan Steen,IMAGE,Nationaal Archief,Netherlands,1863,CC0 Public Domain,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/976822
Trade contract,Pieter de Hooch,TEXT,Nationaal Archief,Netherlands,1777,CC0 Public Domain,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/109717
Printed book page,Frans Hals,TEXT,Rijksmuseum,Netherlands,1817,,https://www.rijksmuseum.nl/en/collection/669691
Etching of the cathedral,Frans Hals,TEXT,Gemeentearchief Rotterdam,Netherlands,1758,CC0 Public Domain,https://hdl.handle.net/11259/collection.rotterdam/446747
Portrait of a nobleman,Pieter de Hooch,IMAGE,Amsterdam Museum,Netherlands,1936,,https://hdl.handle.net/11259/collection.amsterdam/453487
Newspaper article,Johannes Vermeer,SOUND,Nationaal Archief,Netherlands,1751,In Copyright,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/640310
Official decree,Johannes Vermeer,IMAGE,Rijksmuseum,Netherlands,1396,CC BY-SA 4.0,https://www.rijksmuseum.nl/en/collection/360096
Letter from the archive,Jan Steen,TEXT,Nationaal Archief,Netherlands,1900,CC BY-SA 4.0,https://www.nationaalarchief.nl/onderzoeken/fotocollectie/710754
Town plan,Pieter de Hooch,VIDEO,Amsterdam Museum,Netherlands,1929,CC BY 4.0,https://hdl.handle.net/11259/collection.amsterdam/165142
Coat of arms,Johannes Vermeer,SOUND,Amsterdam Museum,Netherlands,1944,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.amsterdam/837733
Legal document,Pieter de Hooch,TEXT,Rijksmuseum,Netherlands,1717,No Copyright Non-Commercial,https://www.rijksmuseum.nl/en/collection/331577
Illuminated miniature,Johannes Vermeer,3D,Gemeentearchief Rotterdam,Netherlands,1870,No Copyright Non-Commercial,https://hdl.handle.net/11259/collection.rotterdam/491774
Woodcut illustration,Caravaggio,TEXT,Archivio di Stato di Roma,Italy,1950,CC BY 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/813390
Documentary footage,Caravaggio,3D,Biblioteca Nazionale Centrale,Italy,1644,,https://www.bncf.firenze.sbn.it/manoscritti/479358
3D scan of sculpture,Leonardo da Vinci,TEXT,Biblioteca Nazionale Centrale,Italy,1766,No Copyright Non-Commercial,https://www.bncf.firenze.sbn.it/manoscritti/257131
Town plan,Leonardo da Vinci,TEXT,Archivio di Stato di Roma,Italy,1630,No Copyright Non-Commercial,https://www.archiviodistatodiroma.beniculturali.it/it/612573
Still life with flowers,Leonardo da Vinci,3D,Archivio di Stato di Roma,Italy,1807,No Copyright Non-Commercial,https://www.archiviodistatodiroma.beniculturali.it/it/535604
Illuminated miniature,Sandro Botticelli,TEXT,Archivio di Stato di Roma,Italy,1700,CC0 Public Domain,https://www.archiviodistatodiroma.beniculturali.it/it/515182
View of the city harbour,Caravaggio,IMAGE,Galleria degli Uffizi,Italy,1934,In Copyright,https://www.uffizi.it/en/artworks/461264
View of the city harbour,Leonardo da Vinci,3D,Biblioteca Nazionale Centrale,Italy,1717,CC BY-SA 4.0,https://www.bncf.firenze.sbn.it/manoscritti/528728
Printed book page,Raphael Sanzio,SOUND,Archivio di Stato di Roma,Italy,1669,In Copyright,https://www.archiviodistatodiroma.beniculturali.it/it/493892
Religious icon,Sandro Botticelli,VIDEO,Galleria degli Uffizi,Italy,1816,CC BY 4.0,https://www.uffizi.it/en/artworks/663356
Chronicle of the kingdom,Leonardo da Vinci,IMAGE,Galleria degli Uffizi,Italy,1927,In Copyright,https://www.uffizi.it/en/artworks/806215
Printed book page,Michelangelo Buonarroti,TEXT,Archivio di Stato di Roma,Italy,1792,CC BY-SA 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/262656
Digital reconstruction of building,Leonardo da Vinci,SOUND,Biblioteca Nazionale Centrale,Italy,1712,CC0 Public Domain,https://www.bncf.firenze.sbn.it/manoscritti/352356
Map of the region,Titian,IMAGE,Biblioteca Nazionale Centrale,Italy,1829,,https://www.bncf.firenze.sbn.it/manoscritti/146385
Documentary footage,Leonardo da Vinci,IMAGE,Galleria degli Uffizi,Italy,1946,CC BY-SA 4.0,https://www.uffizi.it/en/artworks/345536
Map of the region,Caravaggio,VIDEO,Museo Nazionale Romano,Italy,,CC BY-SA 4.0,https://www.museonazionaleromano.beniculturali.it/collezioni/250219
Architectural drawing,Titian,TEXT,Galleria degli Uffizi,Italy,1998,CC0 Public Domain,https://www.uffizi.it/en/artworks/683761
Folk song recording,Sandro Botticelli,SOUND,Galleria degli Uffizi,Italy,,In Copyright,https://www.uffizi.it/en/artworks/149161
Town plan,Caravaggio,VIDEO,Archivio di Stato di Roma,Italy,1596,In Copyright,https://www.archiviodistatodiroma.beniculturali.it/it/528090
Map of the region,Caravaggio,3D,Galleria degli Uffizi,Italy,1909,CC BY 4.0,https://www.uffizi.it/en/artworks/415344
Manuscript fragment,Leonardo da Vinci,SOUND,Archivio di Stato di Roma,Italy,1562,No Copyright Non-Commercial,https://www.archiviodistatodiroma.beniculturali.it/it/655736
Portrait of a woman,Michelangelo Buonarroti,VIDEO,Museo Nazionale Romano,Italy,1905,CC0 Public Domain,https://www.museonazionaleromano.beniculturali.it/collezioni/571635
Parish register entry,Leonardo da Vinci,TEXT,Galleria degli Uffizi,Italy,1809,,https://www.uffizi.it/en/artworks/734356
Official decree,Caravaggio,TEXT,Galleria degli Uffizi,Italy,1701,CC BY 4.0,https://www.uffizi.it/en/artworks/449138
Illuminated miniature,Michelangelo Buonarroti,IMAGE,Galleria degli Uffizi,Italy,1945,In Copyright,https://www.uffizi.it/en/artworks/354377
Folk song recording,Titian,TEXT,Galleria degli Uffizi,Italy,1759,CC BY-SA 4.0,https://www.uffizi.it/en/artworks/913185
Legal document,Raphael Sanzio,TEXT,Museo Nazionale Romano,Italy,1892,No Copyright Non-Commercial,https://www.museonazionaleromano.beniculturali.it/collezioni/621433
Legal document,Raphael Sanzio,TEXT,Archivio di Stato di Roma,Italy,1313,CC BY-SA 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/534037
Folk song recording,Leonardo da Vinci,TEXT,Galleria degli Uffizi,Italy,1918,No Copyright Non-Commercial,https://www.uffizi.it/en/artworks/707275
Map of the region,Michelangelo Buonarroti,VIDEO,Galleria degli Uffizi,Italy,1931,In Copyright,https://www.uffizi.it/en/artworks/697467
Illuminated miniature,Raphael Sanzio,3D,Museo Nazionale Romano,Italy,1821,,https://www.museonazionaleromano.beniculturali.it/collezioni/875520
Illuminated miniature,Michelangelo Buonarroti,IMAGE,Museo Nazionale Romano,Italy,1769,No Copyright Non-Commercial,https://www.museonazionaleromano.beniculturali.it/collezioni/612036
Newspaper article,Caravaggio,IMAGE,Biblioteca Nazionale Centrale,Italy,1948,CC0 Public Domain,https://www.bncf.firenze.sbn.it/manoscritti/957730
Newspaper article,Titian,IMAGE,Biblioteca Nazionale Centrale,Italy,1538,,https://www.bncf.firenze.sbn.it/manoscritti/342675
Legal document,Michelangelo Buonarroti,3D,Biblioteca Nazionale Centrale,Italy,1878,CC0 Public Domain,https://www.bncf.firenze.sbn.it/manoscritti/747847
Portrait of a nobleman,Sandro Botticelli,3D,Archivio di Stato di Roma,Italy,1801,CC0 Public Domain,https://www.archiviodistatodiroma.beniculturali.it/it/658065
Folk song recording,Caravaggio,TEXT,Biblioteca Nazionale Centrale,Italy,1889,CC BY-SA 4.0,https://www.bncf.firenze.sbn.it/manoscritti/117975
Census record,Michelangelo Buonarroti,IMAGE,Archivio di Stato di Roma,Italy,1549,CC0 Public Domain,https://www.archiviodistatodiroma.beniculturali.it/it/649857
Etching of the cathedral,Raphael Sanzio,TEXT,Museo Nazionale Romano,Italy,1851,In Copyright,https://www.museonazionaleromano.beniculturali.it/collezioni/182857
Town plan,Caravaggio,TEXT,Archivio di Stato di Roma,Italy,1905,CC BY 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/414546
Parish register entry,Leonardo da Vinci,SOUND,Biblioteca Nazionale Centrale,Italy,1881,In Copyright,https://www.bncf.firenze.sbn.it/manoscritti/679549
Battle scene,Sandro Botticelli,IMAGE,Biblioteca Nazionale Centrale,Italy,1842,In Copyright,https://www.bncf.firenze.sbn.it/manoscritti/986392
Map of the region,Caravaggio,IMAGE,Biblioteca Nazionale Centrale,Italy,1981,CC BY 4.0,https://www.bncf.firenze.sbn.it/manoscritti/825916
Coat of arms,Leonardo da Vinci,IMAGE,Museo Nazionale Romano,Italy,1804,CC BY-SA 4.0,https://www.museonazionaleromano.beniculturali.it/collezioni/669408
Genre scene,Raphael Sanzio,IMAGE,Galleria degli Uffizi,Italy,1945,No Copyright Non-Commercial,https://www.uffizi.it/en/artworks/251195
Landscape with river,Leonardo da Vinci,TEXT,Archivio di Stato di Roma,Italy,1849,No Copyright Non-Commercial,https://www.archiviodistatodiroma.beniculturali.it/it/352153
Etching of the cathedral,Titian,IMAGE,Museo Nazionale Romano,Italy,1690,,https://www.museonazionaleromano.beniculturali.it/collezioni/859340
Manuscript fragment,Leonardo da Vinci,IMAGE,Museo Nazionale Romano,Italy,1654,CC BY 4.0,https://www.museonazionaleromano.beniculturali.it/collezioni/979414
Portrait of a woman,Raphael Sanzio,IMAGE,Archivio di Stato di Roma,Italy,,CC BY-SA 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/921609
Folk song recording,Michelangelo Buonarroti,VIDEO,Archivio di Stato di Roma,Italy,1774,In Copyright,https://www.archiviodistatodiroma.beniculturali.it/it/552825
Etching of the cathedral,Leonardo da Vinci,TEXT,Archivio di Stato di Roma,Italy,1568,CC BY 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/847748
Illuminated miniature,Titian,IMAGE,Galleria degli Uffizi,Italy,1811,In Copyright,https://www.uffizi.it/en/artworks/432061
Legal document,Raphael Sanzio,3D,Biblioteca Nazionale Centrale,Italy,1547,CC BY-SA 4.0,https://www.bncf.firenze.sbn.it/manoscritti/207197
Religious icon,Titian,SOUND,Archivio di Stato di Roma,Italy,1811,CC0 Public Domain,https://www.archiviodistatodiroma.beniculturali.it/it/193972
Chronicle of the kingdom,Titian,IMAGE,Museo Nazionale Romano,Italy,1946,In Copyright,https://www.museonazionaleromano.beniculturali.it/collezioni/506637
Coat of arms,Caravaggio,IMAGE,Galleria degli Uffizi,Italy,1577,In Copyright,https://www.uffizi.it/en/artworks/277735
Battle scene,Titian,IMAGE,Museo Nazionale Romano,Italy,1738,CC BY 4.0,https://www.museonazionaleromano.beniculturali.it/collezioni/555791
Architectural drawing,Leonardo da Vinci,VIDEO,Archivio di Stato di Roma,Italy,1876,CC BY 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/855917
Still life with flowers,Titian,IMAGE,Galleria degli Uffizi,Italy,1972,CC BY-SA 4.0,https://www.uffizi.it/en/artworks/107096
Letter from the archive,Raphael Sanzio,3D,Archivio di Stato di Roma,Italy,1941,In Copyright,https://www.archiviodistatodiroma.beniculturali.it/it/955088
Digital reconstruction of building,Raphael Sanzio,VIDEO,Galleria degli Uffizi,Italy,1822,,https://www.uffizi.it/en/artworks/310608
Illuminated miniature,Raphael Sanzio,TEXT,Archivio di Stato di Roma,Italy,1873,,https://www.archiviodistatodiroma.beniculturali.it/it/763646
Architectural drawing,Raphael Sanzio,SOUND,Galleria degli Uffizi,Italy,1644,In Copyright,https://www.uffizi.it/en/artworks/482746
Coat of arms,Caravaggio,IMAGE,Galleria degli Uffizi,Italy,,No Copyright Non-Commercial,https://www.uffizi.it/en/artworks/128223
Printed book page,Sandro Botticelli,TEXT,Archivio di Stato di Roma,Italy,1950,CC BY-SA 4.0,https://www.archiviodistatodiroma.beniculturali.it/it/971662
Still life with flowers,Sandro Botticelli,3D,Archivio di Stato di Roma,Italy,1784,,https://www.archiviodistatodiroma.beniculturali.it/it/417543
Etching of the cathedral,Sandro Botticelli,SOUND,Galleria degli Uffizi,Italy,1876,In Copyright,https://www.uffizi.it/en/artworks/177558
Folk song recording,Caravaggio,SOUND,Archivio di Stato di Roma,Italy,1804,No Copyright Non-Commercial,https://www.archiviodistatodiroma.beniculturali.it/it/825309
Religious icon,Sandro Botticelli,IMAGE,Museo Nazionale Romano,Italy,1910,CC BY 4.0,https://www.museonazionaleromano.beniculturali.it/collezioni/789545
Woodcut illustration,Caravaggio,SOUND,Biblioteca Nazionale Centrale,Italy,1801,CC BY-SA 4.0,https://www.bncf.firenze.sbn.it/manoscritti/934908
